TradeDate,19/06/2020
15/03/2019,2848.5
18/03/2019,2859
19/03/2019,2853.5
20/03/2019,2846.5
21/03/2019,2881
22/03/2019,2829.75
25/03/2019,2825.5
26/03/2019,2842
27/03/2019,2830
28/03/2019,2841.25
29/03/2019,2856
01/04/2019,2890.75
02/04/2019,2887.5
03/04/2019,2899.5
04/04/2019,2902.5
05/04/2019,2915.75
08/04/2019,2918.5
09/04/2019,2901
10/04/2019,2912.5
11/04/2019,2911
12/04/2019,2931
15/04/2019,2928.75
16/04/2019,2929.75
17/04/2019,2920.75
18/04/2019,2929.75
22/04/2019,2932.75
23/04/2019,2958.5
24/04/2019,2951.25
25/04/2019,2947.5
26/04/2019,2962.5
29/04/2019,2964
30/04/2019,2970.75
01/05/2019,2945
02/05/2019,2938.5
03/05/2019,2970
06/05/2019,2953.75
07/05/2019,2912.25
08/05/2019,2908.5
09/05/2019,2894.5
10/05/2019,2907.25
13/05/2019,2828.25
14/05/2019,2860
15/05/2019,2874.75
16/05/2019,2899.25
17/05/2019,2882.5
20/05/2019,2864
21/05/2019,2885.5
22/05/2019,2877.75
23/05/2019,2839.5
24/05/2019,2850.5
28/05/2019,2818.25
29/05/2019,2794.75
30/05/2019,2803
31/05/2019,2761.5
03/06/2019,2757
04/06/2019,2815.75
05/06/2019,2838.25
06/06/2019,2857
07/06/2019,2884.5
10/06/2019,2901.25
11/06/2019,2899.75
12/06/2019,2893
13/06/2019,2905.5
14/06/2019,2902.25
17/06/2019,2904
18/06/2019,2934.5
19/06/2019,2940
20/06/2019,2966
21/06/2019,2956.25
24/06/2019,2958
25/06/2019,2924.75
26/06/2019,2921
27/06/2019,2935
28/06/2019,2947.75
01/07/2019,2970
02/07/2019,2982.5
03/07/2019,3003.75
05/07/2019,2993
08/07/2019,2982
09/07/2019,2984.75
10/07/2019,3002.75
11/07/2019,3010.25
12/07/2019,3022.5
15/07/2019,3023.75
16/07/2019,3014.5
17/07/2019,2992
18/07/2019,3003.75
19/07/2019,2983
22/07/2019,2995
23/07/2019,3014
24/07/2019,3027.75
25/07/2019,3012.5
26/07/2019,3030.5
29/07/2019,3028
30/07/2019,3018.5
31/07/2019,2990
01/08/2019,2959
02/08/2019,2939.5
05/08/2019,2835.5
06/08/2019,2880.25
07/08/2019,2883.5
08/08/2019,2943.5
09/08/2019,2923.75
12/08/2019,2883.75
13/08/2019,2935
14/08/2019,2843.5
15/08/2019,2850
16/08/2019,2892
19/08/2019,2925
20/08/2019,2898
21/08/2019,2929.5
22/08/2019,2923.5
23/08/2019,2856
26/08/2019,2882.5
27/08/2019,2868
28/08/2019,2890.75
29/08/2019,2928.25
30/08/2019,2927.5
03/09/2019,2906.75
04/09/2019,2939.5
05/09/2019,2972.5
06/09/2019,2981
09/09/2019,2978.25
10/09/2019,2980.5
11/09/2019,3002.25
12/09/2019,3014.25
13/09/2019,3011
16/09/2019,3004
17/09/2019,3006.5
18/09/2019,3007.75
19/09/2019,3008
20/09/2019,2990.5
23/09/2019,2996.5
24/09/2019,2968
25/09/2019,2988.25
26/09/2019,2982.25
27/09/2019,2965.5
30/09/2019,2980
01/10/2019,2938.25
02/10/2019,2879.75
03/10/2019,2910
04/10/2019,2949.75
07/10/2019,2936.5
08/10/2019,2891
09/10/2019,2917.25
10/10/2019,2940
11/10/2019,2971.25
14/10/2019,2966
15/10/2019,2998.5
16/10/2019,2992
17/10/2019,2998.75
18/10/2019,2988.75
21/10/2019,3007.25
22/10/2019,2995
23/10/2019,3006.5
24/10/2019,3005.25
25/10/2019,3021.75
28/10/2019,3038.25
29/10/2019,3037.25
30/10/2019,3049.75
31/10/2019,3036.75
01/11/2019,3065
04/11/2019,3077.75
05/11/2019,3074
06/11/2019,3078
07/11/2019,3087.5
08/11/2019,3092
11/11/2019,3089.25
12/11/2019,3093.25
13/11/2019,3098
14/11/2019,3098.5
15/11/2019,3119
18/11/2019,3123.5
19/11/2019,3120.25
20/11/2019,3110.5
21/11/2019,3105.25
22/11/2019,3113.25
25/11/2019,3134.25
26/11/2019,3145.75
