,TradeDate,expiryDate,c_p,strike,price
0,20200110,20200117,1,1000.0,2265.35
1,20200110,20200117,1,1100.0,2165.4
2,20200110,20200117,1,1150.0,2115.6
3,20200110,20200117,1,1200.0,2065.6
4,20200110,20200117,1,1225.0,2040.6
5,20200110,20200117,1,1250.0,2015.65
6,20200110,20200117,1,1275.0,1990.5
7,20200110,20200117,1,1300.0,1965.5
8,20200110,20200117,1,1325.0,1940.5
9,20200110,20200117,1,1350.0,1915.5
10,20200110,20200117,1,1375.0,1890.5
11,20200110,20200117,1,1400.0,1865.6
12,20200110,20200117,1,1425.0,1840.6999999999998
13,20200110,20200117,1,1450.0,1815.6
14,20200110,20200117,1,1475.0,1790.6999999999998
15,20200110,20200117,1,1500.0,1765.75
16,20200110,20200117,1,1525.0,1740.6999999999998
17,20200110,20200117,1,1550.0,1715.8000000000002
18,20200110,20200117,1,1575.0,1690.6
19,20200110,20200117,1,1600.0,1665.6
20,20200110,20200117,1,1625.0,1640.6999999999998
21,20200110,20200117,1,1650.0,1615.8000000000002
22,20200110,20200117,1,1675.0,1590.6999999999998
23,20200110,20200117,1,1700.0,1565.6999999999998
24,20200110,20200117,1,1725.0,1540.65
25,20200110,20200117,1,1750.0,1515.8000000000002
26,20200110,20200117,1,1775.0,1490.6999999999998
27,20200110,20200117,1,1800.0,1465.8000000000002
28,20200110,20200117,1,1825.0,1440.6999999999998
29,20200110,20200117,1,1850.0,1415.6999999999998
30,20200110,20200117,1,1875.0,1390.9
31,20200110,20200117,1,1900.0,1365.8000000000002
32,20200110,20200117,1,1925.0,1340.8000000000002
33,20200110,20200117,1,1950.0,1315.8000000000002
34,20200110,20200117,1,1975.0,1290.8000000000002
35,20200110,20200117,1,2000.0,1265.9
36,20200110,20200117,1,2025.0,1240.8000000000002
37,20200110,20200117,1,2050.0,1215.8000000000002
38,20200110,20200117,1,2075.0,1191.0
39,20200110,20200117,1,2090.0,1175.9
40,20200110,20200117,1,2100.0,1165.9
41,20200110,20200117,1,2110.0,1156.0
42,20200110,20200117,1,2120.0,1146.0
43,20200110,20200117,1,2125.0,1140.9
44,20200110,20200117,1,2130.0,1135.9
45,20200110,20200117,1,2140.0,1126.0
46,20200110,20200117,1,2150.0,1116.0
47,20200110,20200117,1,2160.0,1106.0
48,20200110,20200117,1,2170.0,1096.0
49,20200110,20200117,1,2175.0,1090.9
50,20200110,20200117,1,2180.0,1085.9
51,20200110,20200117,1,2190.0,1075.9
52,20200110,20200117,1,2200.0,1066.0
53,20200110,20200117,1,2210.0,1056.05
54,20200110,20200117,1,2220.0,1046.0
55,20200110,20200117,1,2225.0,1041.05
56,20200110,20200117,1,2230.0,1036.0
57,20200110,20200117,1,2240.0,1026.0
58,20200110,20200117,1,2250.0,1016.0
59,20200110,20200117,1,2260.0,1006.0
60,20200110,20200117,1,2270.0,996.05
61,20200110,20200117,1,2275.0,991.05
62,20200110,20200117,1,2280.0,986.0
63,20200110,20200117,1,2290.0,976.0
64,20200110,20200117,1,2300.0,966.05
65,20200110,20200117,1,2310.0,955.9
66,20200110,20200117,1,2320.0,945.9
67,20200110,20200117,1,2325.0,940.9
68,20200110,20200117,1,2330.0,935.9
69,20200110,20200117,1,2340.0,925.9
