,TradeDate,expiryDate,c_p,strike,price
0,20200110,20200110,1,265.0,60.67
1,20200110,20200110,1,270.0,55.67
2,20200110,20200110,1,275.0,50.67
3,20200110,20200110,1,277.5,48.17
4,20200110,20200110,1,280.0,45.67
5,20200110,20200110,1,282.5,43.17
6,20200110,20200110,1,285.0,40.67
7,20200110,20200110,1,287.0,38.565
8,20200110,20200110,1,287.5,38.17
9,20200110,20200110,1,288.0,37.67
10,20200110,20200110,1,289.0,36.730000000000004
11,20200110,20200110,1,290.0,35.685
12,20200110,20200110,1,291.0,34.565
13,20200110,20200110,1,292.0,33.565
14,20200110,20200110,1,292.5,33.065
15,20200110,20200110,1,293.0,32.565
16,20200110,20200110,1,294.0,31.695
17,20200110,20200110,1,295.0,30.799999999999997
18,20200110,20200110,1,296.0,29.659999999999997
19,20200110,20200110,1,297.0,28.805
20,20200110,20200110,1,297.5,28.064999999999998
21,20200110,20200110,1,298.0,27.67
22,20200110,20200110,1,299.0,26.695
23,20200110,20200110,1,300.0,25.689999999999998
24,20200110,20200110,1,301.0,24.73
25,20200110,20200110,1,302.0,23.785
26,20200110,20200110,1,302.5,23.189999999999998
27,20200110,20200110,1,303.0,22.744999999999997
28,20200110,20200110,1,304.0,21.630000000000003
29,20200110,20200110,1,305.0,20.805
30,20200110,20200110,1,306.0,19.68
31,20200110,20200110,1,307.0,18.77
32,20200110,20200110,1,307.5,18.259999999999998
33,20200110,20200110,1,308.0,17.685000000000002
34,20200110,20200110,1,309.0,16.805
35,20200110,20200110,1,310.0,15.685
36,20200110,20200110,1,311.0,14.675
37,20200110,20200110,1,312.0,13.66
38,20200110,20200110,1,312.5,13.195
39,20200110,20200110,1,313.0,12.760000000000002
40,20200110,20200110,1,314.0,11.73
41,20200110,20200110,1,315.0,10.685
42,20200110,20200110,1,315.5,10.175
43,20200110,20200110,1,316.0,9.685
44,20200110,20200110,1,316.5,9.23
45,20200110,20200110,1,317.0,8.685
46,20200110,20200110,1,317.5,8.2
47,20200110,20200110,1,318.0,7.715
48,20200110,20200110,1,318.5,7.225
49,20200110,20200110,1,319.0,6.734999999999999
50,20200110,20200110,1,319.5,6.175
51,20200110,20200110,1,320.0,5.6899999999999995
52,20200110,20200110,1,320.5,5.1899999999999995
53,20200110,20200110,1,321.0,4.6850000000000005
54,20200110,20200110,1,321.5,4.1850000000000005
55,20200110,20200110,1,322.0,3.6900000000000004
56,20200110,20200110,1,322.5,3.19
57,20200110,20200110,1,323.0,2.6950000000000003
58,20200110,20200110,1,323.5,2.19
59,20200110,20200110,1,324.0,1.69
60,20200110,20200110,1,324.5,1.205
61,20200110,20200110,1,325.0,0.71
62,20200110,20200110,1,325.5,0.265
63,20200110,20200110,1,326.0,0.045
64,20200110,20200110,1,326.5,0.005
65,20200110,20200110,1,327.0,0.005
66,20200110,20200110,1,327.5,0.005
67,20200110,20200110,1,328.0,0.005
68,20200110,20200110,1,328.5,0.005
69,20200110,20200110,1,329.0,0.005
70,20200110,20200110,1,329.5,0.005
71,20200110,20200110,1,330.0,0.005
72,20200110,20200110,1,330.5,0.005
73,20200110,20200110,1,331.0,0.005
74,20200110,20200110,1,331.5,0.005
75,20200110,20200110,1,332.0,0.005
76,20200110,20200110,1,332.5,0.005
77,20200110,20200110,1,333.0,0.005
78,20200110,20200110,1,334.0,0.005
79,20200110,20200110,1,335.0,0.005
80,20200110,20200110,1,336.0,0.005
81,20200110,20200110,1,337.0,0.005
82,20200110,20200110,1,337.5,0.005
83,20200110,20200110,1,338.0,0.005
84,20200110,20200110,1,339.0,0.005
85,20200110,20200110,1,340.0,0.005
86,20200110,20200110,1,341.0,0.005
87,20200110,20200110,1,342.0,0.005
88,20200110,20200110,1,342.5,0.005
89,20200110,20200110,1,343.0,0.005
90,20200110,20200110,1,344.0,0.005
91,20200110,20200110,1,345.0,0.005
92,20200110,20200110,1,347.5,0.005
93,20200110,20200110,1,350.0,0.005
94,20200110,20200110,1,352.5,0.005
95,20200110,20200110,1,355.0,0.005
96,20200110,20200110,1,357.5,0.005
97,20200110,20200110,0,265.0,0.005
98,20200110,20200110,0,270.0,0.005
99,20200110,20200110,0,275.0,0.005
100,20200110,20200110,0,277.5,0.005
101,20200110,20200110,0,280.0,0.005
102,20200110,20200110,0,282.5,0.005
