,index,SPX,TradeDate,SPY
0,0,1132.99,2010-01-04,113.33
1,1,1136.52,2010-01-05,113.63
2,2,1137.14,2010-01-06,113.71
3,3,1141.69,2010-01-07,114.19
4,4,1144.98,2010-01-08,114.57
5,5,1146.98,2010-01-11,114.73
6,6,1136.22,2010-01-12,113.66
7,7,1145.68,2010-01-13,114.62
8,8,1148.46,2010-01-14,114.93
9,9,1136.03,2010-01-15,113.64
10,10,1150.23,2010-01-19,115.06
11,11,1138.04,2010-01-20,113.89
12,12,1116.48,2010-01-21,111.7
13,13,1091.76,2010-01-22,109.21
14,14,1096.78,2010-01-25,109.77
15,15,1092.17,2010-01-26,109.31
16,16,1097.5,2010-01-27,109.83
17,17,1084.53,2010-01-28,108.57
18,18,1073.87,2010-01-29,107.39
19,19,1089.19,2010-02-01,109.06
20,20,1103.32,2010-02-02,110.38
21,21,1097.28,2010-02-03,109.83
22,22,1063.11,2010-02-04,106.44
23,23,1066.19,2010-02-05,106.66
24,24,1056.74,2010-02-08,105.89
25,25,1070.52,2010-02-09,107.22
26,26,1068.13,2010-02-10,107.01
27,27,1078.47,2010-02-11,108.13
28,28,1075.51,2010-02-12,108.04
29,29,1094.87,2010-02-16,109.74
30,30,1099.51,2010-02-17,110.26
31,31,1106.75,2010-02-18,110.91
32,32,1109.17,2010-02-19,111.14
33,33,1108.01,2010-02-22,111.16
34,34,1094.6,2010-02-23,109.81
35,35,1105.24,2010-02-24,110.82
36,36,1102.94,2010-02-25,110.67
37,37,1104.49,2010-02-26,110.74
38,38,1115.71,2010-03-01,111.89
39,39,1118.31,2010-03-02,112.2
40,40,1118.79,2010-03-03,112.3
41,41,1122.97,2010-03-04,112.641
42,42,1138.7,2010-03-05,114.25
43,43,1138.5,2010-03-08,114.27
44,44,1140.45,2010-03-09,114.46
45,45,1145.61,2010-03-10,114.97
46,46,1150.24,2010-03-11,115.45
47,47,1149.99,2010-03-12,115.46
48,48,1150.51,2010-03-15,115.49
49,49,1159.46,2010-03-16,116.41
50,50,1166.21,2010-03-17,117.1
51,51,1165.83,2010-03-18,117.0375
52,52,1159.9,2010-03-19,115.97
53,53,1165.81,2010-03-22,116.5925
54,54,1174.17,2010-03-23,117.41
55,55,1167.72,2010-03-24,116.84
56,56,1165.73,2010-03-25,116.65
57,57,1166.59,2010-03-26,116.58200000000001
58,58,1173.22,2010-03-29,117.32
59,59,1173.27,2010-03-30,117.4
60,60,1169.43,2010-03-31,117.0
61,61,1178.1,2010-04-01,117.8
62,62,1187.44,2010-04-05,118.76
63,63,1189.44,2010-04-06,119.04
64,64,1182.45,2010-04-07,118.36
65,65,1186.44,2010-04-08,118.7725
66,66,1194.37,2010-04-09,119.55
67,67,1196.48,2010-04-12,119.74
68,68,1197.3,2010-04-13,119.83
69,69,1210.65,2010-04-14,121.19
70,70,1211.67,2010-04-15,121.29
71,71,1192.13,2010-04-16,119.36
72,72,1197.52,2010-04-19,119.81
73,73,1207.17,2010-04-20,120.88
74,74,1205.94,2010-04-21,120.66
75,75,1208.67,2010-04-22,121.02
76,76,1217.28,2010-04-23,121.8125
77,77,1212.05,2010-04-26,121.35
78,78,1183.71,2010-04-27,118.48
79,79,1191.36,2010-04-28,119.38
80,80,1206.78,2010-04-29,120.8575
81,81,1186.69,2010-04-30,118.8125
82,82,1202.26,2010-05-03,120.35
83,83,1173.6,2010-05-04,117.52
84,84,1165.9,2010-05-05,116.82
85,85,1128.15,2010-05-06,112.94200000000001
86,86,1110.88,2010-05-07,111.26
87,87,1159.73,2010-05-10,116.16
88,88,1155.79,2010-05-11,115.83
89,89,1171.67,2010-05-12,117.45
90,90,1157.44,2010-05-13,115.99
91,91,1135.68,2010-05-14,113.89
92,92,1136.94,2010-05-17,113.95
93,93,1120.8,2010-05-18,112.4
94,94,1115.05,2010-05-19,111.76
95,95,1071.59,2010-05-20,107.54
96,96,1087.69,2010-05-21,109.115
97,97,1073.65,2010-05-24,107.71
98,98,1074.03,2010-05-25,107.818
99,99,1067.95,2010-05-26,107.17
100,100,1103.06,2010-05-27,110.76
101,101,1089.41,2010-05-28,109.369
102,102,1070.71,2010-06-01,107.53
103,103,1098.38,2010-06-02,110.33
104,104,1102.83,2010-06-03,110.71
105,105,1064.88,2010-06-04,106.82
106,106,1050.47,2010-06-07,105.49
107,107,1062.0,2010-06-08,106.62
108,108,1055.69,2010-06-09,106.05
109,109,1086.84,2010-06-10,109.15
110,110,1091.6,2010-06-11,109.68
111,111,1089.63,2010-06-14,109.509
112,112,1115.23,2010-06-15,112.0
113,113,1114.61,2010-06-16,111.96
114,114,1116.04,2010-06-17,112.14
115,115,1117.51,2010-06-18,111.729
116,116,1113.2,2010-06-21,111.41
117,117,1095.31,2010-06-22,109.57
118,118,1092.04,2010-06-23,109.23
119,119,1073.69,2010-06-24,107.42
120,120,1076.76,2010-06-25,107.8675
121,121,1074.57,2010-06-28,107.53
122,122,1041.24,2010-06-29,104.21
123,123,1030.71,2010-06-30,103.22
124,124,1027.37,2010-07-01,102.76
125,125,1022.58,2010-07-02,102.2
126,126,1028.06,2010-07-06,102.87
127,127,1060.27,2010-07-07,106.1075
128,128,1070.25,2010-07-08,107.16
129,129,1077.96,2010-07-09,107.96
130,130,1078.75,2010-07-12,108.03
131,131,1095.34,2010-07-13,109.66
132,132,1095.17,2010-07-14,109.65100000000001
133,133,1096.48,2010-07-15,109.68
134,134,1064.88,2010-07-16,106.66
135,135,1071.25,2010-07-19,107.29
136,136,1083.48,2010-07-20,108.48
137,137,1069.59,2010-07-21,107.07
138,138,1093.67,2010-07-22,109.461
139,139,1102.66,2010-07-23,110.41
140,140,1115.01,2010-07-26,111.56
141,141,1113.84,2010-07-27,111.55
142,142,1106.13,2010-07-28,110.83
143,143,1101.53,2010-07-29,110.29
144,144,1101.6,2010-07-30,110.27
145,145,1125.86,2010-08-02,112.76
146,146,1120.46,2010-08-03,112.22
147,147,1127.24,2010-08-04,112.97
148,148,1125.81,2010-08-05,112.85
